
Boahji	pole-star
gavžat	stand leaning backward; sit or lean back with one's back to sth; row laboriously
gavži	person who leans back; thing which is bent back or up
gazzabiza	having agnails on one's fingers
gazzat	eat (with a spoon); take medicine (with a spoon)
gaŋgat	kick the bucket (die)
gaŋggas	big and stiff and slothful (of persons)
gaŋgut	in a stretched out position (of tail)
gaškát	lie stiff
gažahit	cause to ask; question (closely)
gažaldat	question
gea	look
geafi	poor
geahpadit	thread the netting needle or the weaver's needle
geahpil	seal's flipper
geahčil	past the end or tip of sth
geahččaladdat	freq. of gæčˈčâlit
geahččalit	try; tempt
geahččái	with very long ends (of boat)
geaiddus	invisible; invisible condition
geaidit	(supernaturally) make invisible or cause to assume the appearance of sth else (by bewitching the sight)
geaidu	who bewitches people's sight
geaidut	bewitch the sight
geaiggo-	extended
geainnohisvuohta	lack of roads; perplexity
geaivut	gesticulate with the arms or sth one holds in one's hand
gealli	winch for seine-net
geallit	draw in a seine-net with a winch
geanis	the join between two fishing nets fastened together
gearahat	(a single) wave
gearddastit	twist a little; repeat once
geardni	thin crust of snow; a scab-like disease attacking the udder of the female reindeer
geardu	a little extra horn occasionally found on reindeer
gearggus	ready (for or to do sth); prepared
gearjádus	begging (= gærˈjedæbmĕ)
gearra	(continuous) waves
gearra	chalice
gearrat	bright or brilliant red; brigthly polished
gearrit	court (of law) in Finland
gearsi	(pig's) snout; either of the disks forming the ends of a reel; frayed end of a punt-pole
gearsut	get frayed at the lower end (of a punt-pole)
geaseheapme	which holds little
geasis	furry collar round neck of draught-reindeer
geasoheapme	which holds little (= gǣsetæbmĕ)
geassastit	put the gǣses on a reindeer; put the harness on (a reindeer or horse) and put the animal to
geasset	in summer; this (last) summer
geassut	become summer
geassádit	drag oneself (off somewhere)
geastegiivvár	one who provides a conveyance on land or water; posting station
geasádat	summery weather in autumn or spring
geasán	haulier; draught-animal
geatki	Gulo luscus (glutton)
geatkkas	short-legged (of persons)
geatnegas	bound to; liable to (a penalty)
geatnit	tie fishing nets together to form one long net or seine net
geavla	frock-coat; (a Norwegian's) jacket
geavlit	go for a turn and come back again (of a reindeer which leaves the herd for a while)
geavllas	uneven at the edge (e. g. of a kofte)
geavllet	bark bag
geavllil	with an edge having sth which sticks out
geavvadit	get (dough) to rise
geavzut	(at the moment) twisted crooked
geavŋŋis	big rapids with falls in a large river
geazaldat	the fold of the koft above the belt; woven belt
geađaš	temple
geađgenjuorju	Phoca vitulina (common seal)
geađgerásttis	Oenanthe oenanthe (stone-chat)
geađgi	stone
geađgádit	stone (relig.)
geađgái	stony
geaŋga	contrivance which is put on a staple before hanging on a padlock
geaŧŧu	cradle
geažehat	time which only just belongs to the first or last half of a period
geažetbeallji	unmarked (tame) reindeer (= gæǯŏh-bælˈlje)
geažotbeallji	unmarked (tame) reindeer
gefodat	poverty
gehpot	boat which is easy to punt
gehá	unfinished log-house
geiggo	the part of the top and bottom log of the long wall of a log-house which is longer than the house itself
geinnodat	tract (not a proper road); route or tract used by nomad Lapps when moving from one pasture to another
gellot	shorter passive of gǣllât
gelvet	mangle
gendá	grassy plain in the mountains where Lapps once lived
gerges	quick at finishing (= gærˈgel)
gerjjodit	fawn on (of dog and fig.)
gerpmodit	become rather dark (of the nights in late summer)
gessot	get stopped because the winter routes become impassable in spring
gevlet	turn (e. g. when flying)
geđget	throw stones at
geđđot	be dazzled
gidni	stick for stretching otter skins with
gieddegeašgálgu	a very old woman; old woman who knows things; a female character in fairy tales (= giedˈdĕgæš-akˈko)
gieddegeašáhkku	a very old woman; old woman who knows things; a female character in fairy tales
gieddesuoidni	meadow grass
gieddi	(natural) meadow
giegacizáš	the bâttâ-sikˈko of the cuckoo
giehka	Cuculus canorus (cuckoo)
giehmánni	trader
giehpa	soot
giehpenvuolli	the part under the lower jaw of a horse or reindeer
giehppi	the hollow under reindeer's lower jaw
gieimman	male animal in the mating season
giekcát	be in an inverted position
giekkis	material for a giegˈge
gielaheapme	dumb; who has lost his voice; very hoarse; who doesn't know foreign languages
gielaheapme	which has no snares
gielahisvuohta	dumbness; great hoarseness; ignorance of languages
gieldagas	musculus flexor digiti pedis profundus (a sinew on a hind leg of reindeer)
gieldda	prohibition
gieldu	prohibition (by law or ordinance)
gielistit	lie
gielká	toboggan; (horse)sleigh
giellavealgu	Erithacus suecica (blue-brest)
gielu	clot of coagulated blood
giemardas	string with which a bundle is tied
giemardit	tie in a bundle
gierddus	material for barrel hoops
gierdudit	put hoop(s) round
gierrat	draw to oneself by a love-potion or charm
gierri	twist
gierrit	knit in a particular way
gierrut	get a twist in it
gierrái	which has very marked twist in it
giesadit	contin. of giessât
giesadit	tie one's komag bands
giesahat	the small of the leg with komag band tied round it
giessan	ring made of twisted material
giessasaddat	wriggle; curl up
giestu	bundle of rope
gietkat	wrap up a child and lay it in its komse
gietkkuš	(cow's) collar made of wood or iron
giettádat	treeless grassy plain in open country
gievdni	kettle; zinc pail
gievru	(of such-and-such a) strength
gievttadit	contin. of giek'tât
gieváskit	become inordinately happy
giezzi	short river between two lakes
gieđbmi	kettle; zinc pail (= giewˈdne)
gieškadit	stretch (a skin for drying)
gihca	rustling noise
gihcat	rustle
gihcci	kid
gihlar	small poor sort of bell
gihli	engagement present
gihládit	give engagement presents to
gihppet	make a bundle or bunch
gihppui	painful
gihpu	pain
gihča	creaking
giibmudit	cause to get verdigris; give a taste of verdigris (of kitchen utensil)
giibmut	get verdigris (of copper or brass articles)
giikan	telescope; field-glass
giilu	primitive paraffin lamp
giimma	verdigris (on copper and brass)
giimmagit	get verdigris (of copper or brass articles) (= giiˈbmot)
giinnahit	pinch and economize lest the food (or sth else) should give out
giippár	cooper
giisá	round or oval wooden box
giitalus	thanksgiving (chiefly relig.)
giitit	thank; praise
gikcut	climb; punt with difficulty up a rapid (= gâkˈcot)
gikta	stone weight on seine or other fishing net
giktet	put stone weights on (= gikˈtâdit)
gilga	side
gilkkardit	tinkle (of small bell)
gilkkihit	caus. of gilˈket
gilká	nickname of a constantly jogging person
gilká	small open bell
gilljon	Anser erythropus (lesser whitefronted goose) (= gilˈljo-čuonja)
gilljočuonjá	Anser erythropus (lesser whitefronted goose)
gillot	form (intr.) coagulated blood
gillámuš	suffering
gillásuhttit	boil or roast quite lightly
gillásuvvat	get boiled or roasted quite lightly; get one's skin sore
gilššas	brisk and lively; an efficient worker
ginal	the corner of the skin off an animal's chin and cheeks
ginttal	candle
gipmat	mate (of female animals); be in (breeding) season
gipmi	condition of being in season (of female animals) (= gimes)
girddán	female reindeer which runs away from lasso
girdit	fly; run or dash quickly; run about; rush at someone
girdnet	churn (butter)
girdno	churn (for making butter)
girdnot	churn (butter) (= girdˈnit)
girdnut	churn (butter) (= girdˈnit)
girje	name of a spotted dog
girji	spot of another colour (on an animal); ornamental pattern; book; letter
girjjis	name of a spotted dog
girjjálaš	fond of reading; literary
girku	church; service
giron	Lagopus mutus (ptarmigan)
girsa	ram
girse	frost (in the ground)
girtit	be able to bring oneself to
gissa	sound of sth moving
gissat	make sound(s) by moving
gissor	small draught reindeer
gissá	cat
gistta	glove made of reindeer's legskin with the hair on it
gistu	coffin
givas	keen and courageous
givdnji	copper utensil which has become dark and dull through use
givdnjut	become dark and dull through use
givgás	stone stove in sauna
givvi	very untiring (in work)
givšttidit	make a noise (of children)
gizzut	climb
giđđa	spring
giđđat	in spring
giŋgodit	run or jerk from one side to another (of a led or tied up reindeer)
giŋgot	hold on to and follow
giš	ejaculation to make animal go faster
gišket	cut a giešˈkâ in a reindeer's ear
gižži	brawl
goabbil	on or along that of the two sides (of)
goabbáge	either; with neg: neither
goaddat	convulsively seize sth; resort to
goadjin	large male salmon
goagis	material for making a goakke
goahcci	pine-needle
goahccái	rich in pine-needles
goahki	hood on a Lapp cradle
goahkka	large knife
goahkádit	put a hood on (a Lapp cradle)
goahput	stick to sth (e. g. to clothes)
goaidi	salmon pink
goaikkanas	drop
goaistas	five-year-old male reindeer
goaivu	spade
goalge	(in dependent questions) in the different places (= goal)
goalge	(with doubt) anywhere
goalkkanas	a single feeble stroke (of bell); a single bang
goallu	fish-oil lamp
goalludit	caus. of goallot
goallus	string of pack-reindeer tied together or of tied reindeer without pack or kjerris
goallá	poll-reindeer (only of females); poll-cow; proper name of a poll-cow
goallá	wooden milk-pan (= asˈke)
goallát	begin to feel cold (of living creatures)
goalmmádis	for the third time
goalsi	Mergus (goosander)
goalva	bottom of a boat which is upside down
goalvát	lie upside down (of a boat)
goalšu	large stiff species of carex
goalššas	chilly (of weather)
goalššas	tall and stiff (of grass)
goanjidit	take too much room in or on sth
goanzzas	tall and ungainly
goanzát	stand tall and ungainly
goapmir	the two curved open hands put together to receive or catch something
goappaš	(only subst.) both of them
goappos	in which direction (of two)
goaran	hairy skin fastened round a reindeer's drag-rope
goarat	thin pole to which the end of jodˈdo or čuollŏ-fierˈbme is fastened
goardda	intense heat close to an open fire
goargu	honour; (vain) magnificence and splendour; Lapp family name
goargut	become arrogant
goargŋu	who is a great hand at punting
goarka	the condition of being lifted high up above the fire (of a cooking-pot or kettle)
goarpa	Corvus corax (raven)
goarpmastit	diminutive corresponding to goarˈgŋot (= goargŋâstit)
goarru	(too) industrious in sewing
goarrut	sew
goarrálat	winter way which goes aslant down the hill
goartil	span
goartálastit	measure by spans
goarvi	overhanging curved edge; very sheer slope
goarvvet	float of rolled birch bark on net
goarádus	(the act of) causing to thrive badly; sth that brings bad luck
goassa	rattling
goassat	rattle
goassut	attach himself to someone (of a dog)
goasti	rancid fat for putting in porridge or gruel
goastil	good at reaching one's destination or at overcoming obstacles on the way
goastu	way of travelling or reaching destination
goatnil	still water near the bank or by a stone in a river
goavrras	large and bent or crooked
goavrut	descr. verb of the walk of a goawˈre
goađut	in an unfriendly mood
goaŋku	curved stick for hanging a pot or kettle on outdoors
goaŋkut	in a bent forward position; bulking large
gobbá	name of several kinds of round-shaped insects
gobádat	(roundish) depression in the ground
goddebeallji	unmarked (tame) reindeer
goddesáhpán	Myodes lemmus (lemming)
goddet	hunt wild reindeer
goddi	killer; slaughterer
goddi	wild reindeer
goddin	killing; slaughter
goddu	trick (at cards); card with which one can take a trick
goddádat	skin of a wild reindeer
godjat	(small and) neat
gohccát	wake (intr.)
gohkal	bent piece of wood to sit when spinning
gohppi	round-shaped bay (esp. in place names)
gohppu	cup
gohči	miserable knife
gohččui	full of soot
goidat	become goidâs
goidoš	who is slack and lazy
goigáras	a loafer
goikket	winter Lapp brogue(s)
goikkáš	dry patches or strips on a bog
goiku	drought; thirst; need
gokko	(by) the way by which; where (at the place)
goksot	shorter passive of gokˈset
goksot	shorter passive of gokˈsât
golbma	three
golbmii	three times
goldda	linked drift-nets
golddán	sth used for taking things out of a cooking-pot; one who is given to taking the best pieces out of the cooking-pot
goldnat	wither (of grass and herbs)
golgadat	drift-net
golggahus	shedding
golggodit	become exhausted from mating (of male reindeer)
golggot	exhausted male reindeer (in rutting season)
golgohit	have sth put into running water to be cleansed
golgot	be exposed to the action of running or dripping water
golgui	apt to wander about
golgŋet	goalˈgŋât a little or quickly
golka	harness-bell
gollas	golden
gollebahta	Lucilia species (meat fly)
gollen	gold ring
gollet	gild
golli	gold
gollolaga	tied in a row one after the other (of reindeer)
golluhit	glitter (like gold)
golluštit	glisten (sth black and glistening)
golláš	pupil (of eye)
golppas	tired of (food)
golve	soldering iron
golvet	turn (a boat) upside down and lay it up for the winter
golár	nickname applied to a (dishonourable) person
gomalassii	face downward
gomihit	turn upside down a vessel containing sth; cause someone or sth to fall out by upsetting or tipping the vessel
gomolassii	face downward (= gomâlâssii)
gomu	very steep hillside
gonagas	king
gonagaslaš	royal
gonte	bark-bag
gopmat	sound muffled or make a muffled sound
goppalákču	name of several kinds of round-shaped insects (= gobˈba)
gordni	corn; artificial fodder for a horse
gorkŋodit	contin. of goarˈgŋot
gorodit	contin. of goarrot
gorostat	thread for sewing
gorrat	tie together
gorrehat	place where one drives or walks up on to solid ground from a winter track on the ice
gorremaš	one who is constantly unlucky or brings bad luck; bird of ill-omen
gorret	drive or walk up on to solid ground from a track across the ice
gorži	waterfall
gosadit	be coughing; keep on coughing
gosahat	cough
gosahit	cause to cough or to get a cough
gosanas	(a single) cough
gossat	cough
gosádit	suddenly cough once
gotka	Formica (ant)
gottašit	dimin.-contin. and dimin.-freq. of godˈdet; kill each other
gottodas	four-year-old male reindeer
govdat	broad (also fig. of persons)
govddohat	sth which keeps sth up in the water
govdul	which does not draw much water and therefore easily floats over shallow places; which floats well
govdut	float (not sink); float (not touch the bottom)
govlut	vomit very much; gulp up the cud; break wind (of a dog)
govset	chastise (child or animal)
govssáhallat	get cheated out of oneʼs full share
govttolaš	reasonable
govva	picture
govvet	get fine between the showers
govššodit	become sickly pale
gozeš	able to stay awake long
goččor	nickname of one who makes water in his trousers
gođa	woof
gođus	work at weaving or knitting; web which is being woven; (rare) knitting
gođán	knitting; fishing net which is being made
gođđat	spawn; milt; saunter in and out or to and fro after each other
gođđit	weave; knit; net
gođđu	spawning
goŋge	king (the card)
goŋgit	sound hollow
gubbarastit	turn a somersault
gubbi	protuberance of back and (back of) neck; one who has a fat back and (back of) neck; one who has the beginnings of a hump
gudnju	cunnus
gufihtar	a subterranean being (in fairy tales)
guhciidit	smell rotten
guhkit	far
guhkki	long; long (in the sense of hanging far down)
guhkkin	far away; from far away
guhkkodat	length
guhkku	length
guhkká	umbelliferous plant; composite plant with its heads in a corymb
guhkkálaga	far from each other
guhkkár	pouch (of skin or cloth) with draw-string
guhkkásii	(decided) for a long time to come
guhká	long (time)
guhkás	far (away)
guhkášit	consider too long or of too long duration
guhpiidit	smell or taste mildew
guhpirdit	turn a somersault
guhppejeaddji	a (woman) cupper
guhppet	cup
guhppá	cupping
guhppár	a (woman) cupper (= gupˈpijægˈgje)
guhtal	approximate time
guhtamáhka	fish-sausage
guhtta	six
guigu	heifer which has not calved yet
guiru	a lean ugly one
guiski	mussel (used as bait)
guita	quits
guite	receipt (acknowledgment of payment)
guittidit	try to get a postponement of the payment of a debt by putting off the creditor with promises
gujagit	open out (of a wood or reindeer herd)
gujis	very painful (of an injury or an operation); with which it is painful to cut oneself or to be stabbed
guktii	twice
guktot	both
gulbmi	the parts round the eyebrow; eyebrow
gulca	worthless thing; a bad knife
gulcat	make sth without being able to do it properly; whittle with a bad knife
gulladit	cause to split
gullet	catch fish; fish for household needs (= guolastit)
gullevaš	which belongs to sth
gullu	hearing; what one hears; feeling; feeling one's way
gullu	last year's grass
gullut	in the hearing of someone
gulmmit	Gasterosteus aculeatus (stickleback) (= ruowˈdĕ-gulmek)
gulpet	hit with a wooden block
gulul	slowly and carefully
gummá	strange
gumpe	wolf
gumppegáranas	Corvus corax (raven)
guoban	nickname of a person whose farm is in a hollow
guobir	cloven hoof; crust of cloven hoof; in ear-mark: wide nick by which the tip of the ear is cut away
guoccat	penis of an animal
guoddjái	with many flower stalks in it (of sedge to be used in Lapp brogues)
guodja	flower stalk of sedge
guoggaruššat	stand very bent doing sth
guoggut	stand very bent doing sth (= guogˈgâruššât)
guohca	rotten
guohcarássi	Ledum palustre (Labrador tea)
guohcistit	smell rotten; smell bad
guohpat	gather; gather and sew together
guohppi	grassy hollow
guohttelus	gore on a chest-piece of a pesk or dork (on each side of the opening at the throat)
guohár	horse-gelder
guoika	rapid(s)
guokte	two
guoktilaš	hypocrite; hypocritical
guoktálastit	be irresolute; express oneself in an indefinite manner (= guovtadâsˈtet)
guoktánit	get loose from each other (of copulating dogs); get delivered (of one who is in labour)
guolbi	earth floor
guolbmá	the stage in the changing of an animal's coat when the dog hair isn't long enough to cover the woolly hair
guoldu	cloud of snow which blows up from the ground when there's hard frost without much wind; slight frosty wind
guolga	hair (not on the head of a human being)
guolladat	small piece of wood used in making the meshes of a net
guollegoaskin	Pandion haliaëtus (osprey)
guolmmastit	scrape off the innermost layer of the bark of conifers
guolástit	catch fish; fish for household needs
guomu	chyme
guonddal	distaff fastened to gokkâl
guopmi	palate
guopmolággá	Caecum (blind gut of ruminants)
guorastit	begin to track; pick up the scent
guorbban	(draught) animal whose hair is more or less worn away; one who is continually unlucky; bird of ill-omen (= guorˈba)
guorbbat	(draught) animal whose hair is more or less worn away; one who is continually unlucky; bird of ill-omen (= guorˈba)
guorbmi	load (not boat-load)
guorbá	(draught) animal whose hair is more or less worn away; one who is continually unlucky; bird of ill-omen
guorga	Grus grus (crane)
guorkit	scrape against sth in the water
guorká	a kind of animal which is believed to exist inside people who suffer from cardialgia (= guorˈte)
guoro-	sth very empty; (pl.) the space between the lungs and the stomach
guorpmat	Pleuronectes flesus (a species of flounder which goes up the river Tana)
guorral	close by and past
guorri	good at following a track or road which has been obliterated by snow (= guorˈrel)
guorru	pond which is dry in summer
guorti	a kind of animal which is believed to exist inside people who suffer from cardialgia
guorvil	place in the rapid where water foams over the stones; small waterfall
guosaheavdni	a very slow person or animal
guosmudit	cause to be scorched brown
guosmut	get scorched brown
guossa	Picea Abies (spruce-fir)
guossat	stumble on or against sth; stumble and knock against sth
guossuhit	cause to guosˈsot
guostát	be dimly discerned far away
guotku	strip of land or ground between two lakes or bogs which are parallel to each other
guotnjar	rib nearest to the bow or stern of a river boat
guottašit	carry with one; carry to and fro; carry several things in succession
guottestuvvat	show signs of calving
guottu	stump (of tree)
guottádat	the sort of going in which one doesn't go through the surface
guovdat	divided in two (lengthwise); equally (divided)
guovdelaš	(in the time) about the middle of
guovdi	sea serpent; dragon; paper kite
guovdnji	hollow in trunk of the tree due to the fact that part of the wood has decayed
guovdnjut	become hollow because part decays (of trunks of trees)
guovlat	peep; dip into; (trans.) read a little of
guovlla	overhanging snowdrift; overhanging crag
guovllas	wooden contrivance fastened to a dog's collar and to the rope by which the animal is tied; similar contrivance fastened to a cow's collar-rope
guovllastit	dimin. of guowˈlât
guovllastit	put a guowlâs on a dog or cow
guovnnjas	hollow inside because part of it has rotted away
guovssat	Perisoreus infaustus (Siberian jay)
guovssatratni	a kind of lymphatic nodule which may be found in a reindeer's body
guovttádastit	be irresolute; express oneself in an indefinite manner
guovvamánnu	the second of the old names of the months
guovzat	make in a clumsy fashion (with an axe or knife); be very busy with some work in wood or horn without doing it properly
guovža	bear
guođahit	arrange things in a way that someone or sth is left; leave sth (over) for someone
guođostuvvat	want to feed; want (food or spirits)
guppar	copper
guppas	with a fat back and (back of) neck; who has the beginnings of a hump
guppol	(wooden) stump; short log
gurbmet	pick gorms off (reindeer)
gurbmut	get gorms (of reindeer)
gurccas	too deep and narrow
gurci	thing which is too deep and narrow
gurdu	unevenness in yarn or thread
guret	running-string
gurgadas	row; line (of words or letters)
gurggástat	tracks of animals which have moved in line
gurgu	sth which is very long; a very long one
gurgát	be in line; lie at full length
gurku	throat; can having a narrow opening with a cork in it
gurpat	tie together in a bundle; wrap up (in); tie together the legs of (a living animal) in order to take it somewhere
gurpmat	reindeer which has gorms
gurppastat	string or other fastening round a bundle; string to tie round a bundle
gurput	go with a very bent back or with a sack on one's back; carry sth on one's back or shoulder
gurret	empty; (of fish) take out the whole line
gurti	meat from slaughtered animal's neck
gurtádat	skin of a loon; skin of neck and breast of a loon (used for making a tobacco pouch)
gurut	the left
guskalit	(once) sprinkle or shake out; move sth farther out or down when adding sth to the inner or the upper end
gusket	(take care of and) collect
gussa	cow
gussodit	contin. of guosˈsot
gussolas	who is often treated
gutna	ash
gutnálaš	honest (not thievish)
guvdni	one who has a rather bent back; an unenterprising or uncleanly person
guvdnut	be doing sth in a squatting position
guvdnut	in a rather stooping or squatting position
guvggodit	turn a pale brownish yellow colour
guvrát	stand with a bent back
guvtteš	(the figure) two; two (at cards)
guzat	a reindeer whose coat has some hairs which are longer and lighter in colour at the ends than the rest
guččastuvvat	want to make water
guččár	eager for (human) urine (of reindeer)
guđat	sixth
guđeš	(the figure) six
guđodit	contin. of guottot
guđohat	place where reindeer or cattle have grazed
guđoldahttit	make a brief halt and let the reindeer herd or string of reindeer feed
guđđa	swarm
guškkástat	Numenius pheopus (hill curlew)
gužžabava	ischury (of animals)
gužžet	go about eating snow with urine on it (of reindeer)
gába	(capable) woman
gáddu	back of the knee (of human beings)
gádjit	Larus (seagull)
gágga	wooden lever
gággá	keg
gággái	who has plenty of help (i.e. helpers)
gáhkket	bake Lapp cake
gáhkkorastit	scream like a loon
gáhkku	Lapp cake
gáhkku	posting-master
gáhkut	clear the throat
gáhpol	handle on the pole of a scythe
gáhrohastit	rake together dry hay in a long row
gáhtta	street
gáhttosealgi	reindeer with some white on either side of backbone
gáhttu	cat
gáhttu	roof
gáhtu	repentance
gáhčaldahttit	make haste to (in order to steal a march on someone)
gáhčas	Aeschna juncea (dragon-fly)
gáhččalit	hurry off (to steal a march on someone)
gáhčči	resin
gáhčči	skin of porpoise or whale
gáibmi	namesake
gáica	goat; 8 of spades in the game ’styrvolt’
gáicadákti	either of the two backward-projecting corners of a reindeer's breastbone (= šaiˈkă-dakˈte)
gáiccas	foolish
gáidadit	cause to gaiˈdât; remove; avert
gáidet	put gore(s) in (= gaiˈdadit)
gáidnu	rope for pulling boat or net with; rope made of rootfibres
gáidádit	put gore(s) in
gáiggas	foolish
gáigi	fool; foolish
gáimmeš	namesakes (mutually)
gáiri	stripe with lighter hair on the forepart of a reindeer's leg
gáirras	which has gaiˈre
gáirris	name of a dog with a white stripe on his legs
gáirái	which has large or specially prominent gaiˈre
gáiskkit	species of large-leaved fern
gáitut	get covered with gaitak; get worn by the weather so that a woolly coating forms on the outside
gáivo	well (of water)
gájanas	echo (outdoors)
gákcii	eight times
gákkis	(home-made) homespun (cloth)
gákčat	cover up and tuck the edges of the covering down round the person or thing in question; whirl sth (of the wind)
gákšu	she-wolf; bitch (of a woman)
gála	ford
gálbbardit	walk or go zigzag; drive circuitously
gálbbenjunčuonjá	Anser erythropus (lesser white-fronted goose)
gálbmi	place where a corpse or bones of a dead person are found; corpse which is found out after it has lain there a considerable time
gálddat	castrated animal
gálget	clear the throat by coughing up sth
gálgoš	man and wife
gálihit	cause to wade or wade in sth; let someone wade or wade in sth; lead an animal through water; clear (a way; with a harnessed draught-animal)
gállat	get dark sodden pith in one part; become filmy (of the eyes of intoxicated or dead persons)
gállehit	caus. of galˈlit: cut off the leaves
gállet	temper afresh (steel implement)
gálli	which can be put far out in the water without fear of its being overturned by the current
gálljut	get covered with ice or frozen over so that it is rough and slippery
gállot	winter footwear with the bottom made of reindeer's headskin
gállu	forehead; skin of head (esp. of reindeer and cow)
gállu	rather cold weather
gálojeatnesássa	gālŏjædne to be
gálssot	winter gaiter
gáludit	become cool weather
gálus	rather cold (weather)
gálvagorddet	Equisetum sp. (species of horse-tail)
gálvat	become dry all through (of deciduous tree)
gálvát	sit thin and shrivelled
gálágit	emit oil (of fish-liver)
gámadit	put on Lapp brogues
gámme	Lapp hut which is not for living in
gánda	boy
gándil	stringed instrument
gándin	tent with all belongings when on the move
gánet	gut (herring)
gánis	sacrum
gánske	perhaps
gáraldat	carded flock of wool
gáraldat	lashing; bundle of sth that is lashed together
gáranas	Corvus corax (raven); Corvus cornix (crow); gable
gáranasbaika	raven's excrement; black crowberry in spring
gáranasmánnu	old name for the fourth month
gáranasrásit	the leaves of Cornus suecica
gárastat	a single turn of the lashing rope; lashing rope
gárbbis	small river boat; four-oared boat
gárbmestovla	armchair
gárdi	(ring) fence; the ground enclosed by the fence; a sort of trap with snare(s); ring or line round sth; rail in front of the altar (= alˈtar-garˈde)
gárdádat	place where has been a reindeer enclosure (ring-fence)
gárgadas	long row of sth
gárggu	portion of shore of river or lake with large or small pebbles
gárgolaš	fugitive
gárgoš	flying insect living on sandbanks near a river
gárgŋát	stand or sit crooked
gáron	loop on a kjerris or Lapp cradle; band for tying a cross a Lapp cradle
gárpa	rich man
gárranárpu	each of the threads which go from the beam of the loom to the warp
gárri	narrow (of cloth)
gárri	wooden dish for food
gársan	sheep pen (in cow-house)
gárssil	torn crooked (of cloth)
gártin	ash of dry fir which stops the fire from burning
gártnit	knave (at cards)
gárvodit	dress (intr.)
gárvvuhit	dress (trans.)
gárvánit	get finished
gárvásii	(into) the finished state
gáskkit	(newly) castrated reindeer
gássái	whose beestings yield a great deal of cheese (of cow)
gásttadas	something with which to wet
gásttadat	wet weather
gásttas	wet
gását	sailor on russian vessel; big strong worker; big stupid schoolboy
gátku	five cards (in a certain card game)
gáttehas	land-lubber
gáttidit	take nearer to the land
gávas	yawning (having to yawn)
gávastit	yawn
gávcci	eight
gávddagit	get a bend upward or a dome
gávdnes	good at finding
gávdnjarakkis	flat white maggot sometimes found in the guts of fish
gávdnot	be found; be able to be found; exist
gávggihit	caus. of gawˈget
gávkkašit	consider gāwkâs
gávnnadeapmi	meeting
gávnnas	laugh; laughter
gávpejas	trader; hawker
gávpot	town
gávstá	either of the two long wooden bars of a sleigh
gávva	curve; crook; bend; turning
gávzi	tree which is bent in all directions
gávzzagit	get bent in all directions
gávččáldat	detour (made to get ahead of)
gázzi	household; assembly of people; a Lapp sorcerer's attendant spirits
gáđaš	envious (as a quality)
gáđaštit	be envious of; envy someone; be jealous of someone on account of
gáđđet	poke the fire to make it burn better
gáŋga	bar of iron or steel
gáška	long birch trunk with bark which ties together part of a timber raft
haddái	expensive
hahcuhit	provoke
hahkihit	mom. of hâkˈket
hahpadit	caus. of hâppât
hahpat	become exhausted and skinny (of animals which are very long in a trap or remain very long tied up)
hahppalit	drink up quickly
hahppit	make a bubbling noise
hahttá	without
haksa	excrement of reindeer in summer
hapmat	pick and choose; eat a little of this and that
hapmu	desire for a particular kind of food or drink or for work
hapmudit	have desire for a particular kind of food
hattáiduvvat	become possessed of something to pay with
hattálaš	who have the wherewithal to pay; which commands a high price (of goods for sale)
haŋkkuhit	shake or jolt something
haŋŋá	Harelda glacialis (long-tailed duck)
heaboheapme	shameless
heahkelastit	crochet
heahki	fumes in a steam bath-house
heahkkalastit	crochet
heahpanaddat	continuously or several times be ashamed of something; be bashful
heahpanit	be ashamed
heahpat	shame
heahpatlaš	shameful
heahpatvuohta	(conscious) shame
heahppášuhttit	bring shame on; load with abuse
heahpu	feeling of shame
heahtahaš	very restless
heahtit	hinder or delay one's work (of sickness)
heaibmu	family (in the widest sense)
heaibu	wrestling match
heaibut	wrestle
heaidna	hone
heaitalit	stop doing something (of several subjects separately); (mutually) break off engagement; exchange (small subjects) for one another
heakkajieinnaš	a bit of food to stay one's stomach
healbmi	bottom part of an article of clothing
healbmái	(sufficiently) wide at the bottom (of a womanʼs kofte or pesk)
healkkihit	start (of someone who is suddenly frightened)
healla	heel (of footwear)
heallabahta	girl who keeps on giggling
healli	in low spirits
healli	the place for the fire on a hearth
heallut	become low-spirited
healpput	easily
healpu	easy
healssastit	rince a single thing in tan-liquor
healsut	rince in tan-liquor; gobble good fat food
heammástus	surprise
hearcasaddat	constantly flirt in an unseemly way (of women)
hearccas	who flirts in an unseemly way (of women)
hearcut	flirt in an unseemly way (of women); (trans.) put on finery
hearcái	who flirts in an unseemly way (of women) (= hǣrcâs)
hearddohuvvat	become discouraged; lose heart and all one's enterprise (because everything goes against one); get into such a condition that one cannot stand anything
hearggálaš	one who drives reindeer (generally of a driver who has several reindeer)
heargi	draught-reindeer
heargut	turn out to be so completely castrated that it makes no attempt to mate (of male reindeer)
hearidit	chatter and make a lot of noise (of a great many people together); mess about with something
hearkut	become hærˈke
hearta	hearts (at cards)
hearvás	only in the biblical expression hærˈvasin dâkkât: glorify
heasta	horse
heasttahas	a man with a horse; person who is driving
heavlasaddat	constantly hæwˈlot
heavlut	be a nuisance with their too wide clothes (of women)
heavnnas	dilatory
heavval	plane (tool)
heavvalastit	plane v.
heavvanit	drown; be wasted
heavvu	place where one might easily drown; fig. of something which is absolutely ruinous to someone or something
heađáskit	get into distress
heaŋgalohkka	padlock
heaŋggagit	begin to hang down
